Employee_ID,Gender,Job_Level_after_FY20_promotions,New_hire_FY20?,FY20_Performance_Rating,Promotion_in_FY21,In_base_group_for_Promotion_FY21,Target_hire_balance,FY20_leaver,In_base_group_for_turnover_FY20,Department_01.07.2020,Leaver_FY,Job_Level_after_FY21_promotions,Last_Department_in_FY20,FTE_group,Time_type,Department_&_JL_group_PRA_status,Department_&_JL_group_for_PRA,Job_Level_group_PRA_status,Job_Level_group_for_PRA,Time_in_Job_Level_01.07.2020,Job_Level_before_FY20_promotions,Promotion_in_FY20,FY19_Performance_Rating,Age_group,Age_01.07.2020,Nationality_1,Region_group_nationality_1,Broad_region_group_nationality_1,Last_hire_date,Years_since_last_hire,Rand
88,Male,6 - Junior Officer,N,2,Yes,Yes,0.5,No,Y,HR,not leave,5 - Senior Officer,HR,Full Time,Full Time,Inconclusive,6 - Junior Officer & HR,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,24,Switzerland,Switzerland,Switzerland,01-04-2017,3,0.510538544
89,Male,3 - Senior Manager,Y,0,No,No,0.5,No,N,Internal Services,not leave,3 - Senior Manager,Internal Services,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Internal Services,Uneven - Men benefit,3 - Senior Manager,0,NA,N,0,30 to 39,38,Germany,Europe,Europe,01-04-2020,0,0.403630586
90,Male,5 - Senior Officer,N,2,No,Yes,0.5,No,Y,Sales & Marketing,not leave,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,1,6 - Junior Officer,Y,1,20 to 29,29,Switzerland,Switzerland,Switzerland,01-04-2011,9,0.72758566
91,Male,5 - Senior Officer,N,2,Yes,Yes,0.5,No,Y,Operations,not leave,4 - Manager,Operations,Full Time,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,1,6 - Junior Officer,Y,1,30 to 39,31,Germany,Europe,Europe,01-04-2015,5,0.390088767
92,Male,6 - Junior Officer,N,3,No,Yes,0.5,No,Y,Operations,not leave,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,4,6 - Junior Officer,N,3,20 to 29,26,Switzerland,Switzerland,Switzerland,01-04-2016,4,0.804881414
93,Male,2 - Director,N,3,No,Yes,0.5,No,Y,Sales & Marketing,not leave,2 - Director,Sales & Marketing,Full Time,Full Time,Inconclusive,2 - Director & Sales & Marketing,Uneven - Men benefit,2 - Director,3,2 - Director,N,3,30 to 39,39,Switzerland,Switzerland,Switzerland,01-04-2014,6,0.367712817
94,Male,4 - Manager,N,2,No,No,0.5,Yes,Y,Operations,FY20,not promotion,Operations,Full Time,Full Time,NA,NA,NA,NA,2,4 - Manager,N,3,40 to 49,44,Switzerland,Switzerland,Switzerland,01-04-2017,3,0.911107805
95,Male,3 - Senior Manager,N,4,No,No,0.5,Yes,Y,Operations,FY20,not promotion,Operations,Full Time,Full Time,NA,NA,NA,NA,3,3 - Senior Manager,N,3,40 to 49,40,Germany,Europe,Europe,01-04-2012,8,0.40759541
96,Male,6 - Junior Officer,N,2,No,Yes,0.5,No,Y,Operations,not leave,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,0,20 to 29,25,France,Europe,Europe,01-04-2019,1,0.001358645
97,Female,4 - Manager,N,2,No,Yes,0.5,No,Y,HR,not leave,4 - Manager,HR,Full Time,Full Time,Inconclusive,4 - Manager & HR,Even,4 - Manager,2,4 - Manager,N,3,40 to 49,40,Germany,Europe,Europe,01-04-2017,3,0.546996408
98,Male,2 - Director,N,3,No,Yes,0.5,No,Y,Operations,not leave,2 - Director,Operations,Full Time,Full Time,Even,2 - Director & Operations,Uneven - Men benefit,2 - Director,3,2 - Director,N,3,40 to 49,41,Switzerland,Switzerland,Switzerland,01-04-2011,9,0.672540427
99,Female,6 - Junior Officer,N,3,No,Yes,0.5,No,Y,Sales & Marketing,not leave,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,28,France,Europe,Europe,01-04-2017,3,0.510651084
100,Male,3 - Senior Manager,N,3,No,Yes,0.5,No,Y,Internal Services,not leave,3 - Senior Manager,Internal Services,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Internal Services,Uneven - Men benefit,3 - Senior Manager,2,3 - Senior Manager,N,3,30 to 39,39,Germany,Europe,Europe,01-04-2014,6,0.974978719
101,Female,6 - Junior Officer,N,2,No,Yes,0.5,No,Y,Sales & Marketing,not leave,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,22,Germany,Europe,Europe,01-04-2018,2,0.631845856
102,Female,4 - Manager,N,2,No,Yes,0.5,No,Y,Operations,not leave,4 - Manager,Operations,Full Time,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,2,4 - Manager,N,0,40 to 49,40,Israel,Middle East,Elsewhere,01-04-2018,2,0.957835246
103,Male,6 - Junior Officer,N,2,No,Yes,0.5,No,Y,Sales & Marketing,not leave,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,5,6 - Junior Officer,N,3,20 to 29,22,France,Europe,Europe,01-04-2015,5,0.658860879
104,Female,5 - Senior Officer,N,2,No,Yes,0.5,No,Y,Sales & Marketing,not leave,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,3,5 - Senior Officer,N,2,20 to 29,28,Switzerland,Switzerland,Switzerland,01-04-2015,5,0.276296606
105,Male,4 - Manager,Y,0,No,No,0.5,No,N,Sales & Marketing,not leave,4 - Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,0,NA,N,0,30 to 39,30,France,Europe,Europe,01-04-2020,0,0.619256959
106,Male,2 - Director,N,1,No,Yes,0.5,No,Y,Sales & Marketing,not leave,2 - Director,Sales & Marketing,Full Time,Full Time,Inconclusive,2 - Director & Sales & Marketing,Uneven - Men benefit,2 - Director,3,2 - Director,N,3,30 to 39,35,France,Europe,Europe,01-04-2017,3,0.92846252
107,Female,6 - Junior Officer,N,2,No,Yes,0.5,No,Y,Operations,not leave,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,2,20 to 29,23,Switzerland,Switzerland,Switzerland,01-04-2018,2,0.82389443
108,Male,3 - Senior Manager,N,3,No,Yes,0.5,No,Y,Operations,not leave,3 - Senior Manager,Operations,Full Time,Full Time,Even,3 - Senior Manager & Operations,Uneven - Men benefit,3 - Senior Manager,6,3 - Senior Manager,N,3,30 to 39,34,France,Europe,Europe,01-04-2014,6,0.751580952
109,Male,6 - Junior Officer,Y,0,No,No,0.5,No,N,Sales & Marketing,not leave,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,0,NA,N,0,20 to 29,24,Switzerland,Switzerland,Switzerland,01-04-2020,0,0.610813855
110,Male,5 - Senior Officer,N,2,No,Yes,0.5,No,Y,Internal Services,not leave,5 - Senior Officer,Internal Services,Full Time,Full Time,Even,5 - Senior Officer & Internal Services,Even,5 - Senior Officer,3,5 - Senior Officer,N,3,20 to 29,28,Switzerland,Switzerland,Switzerland,01-04-2016,4,0.415961216
111,Female,5 - Senior Officer,Y,0,No,No,0.5,No,N,Finance,not leave,5 - Senior Officer,Finance,Full Time,Full Time,Inconclusive,5 - Senior Officer & Finance,Even,5 - Senior Officer,0,NA,N,0,30 to 39,33,Germany,Europe,Europe,01-04-2020,0,0.526906345
112,Female,6 - Junior Officer,N,2,No,Yes,0.5,No,Y,Operations,not leave,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,0,20 to 29,27,Switzerland,Switzerland,Switzerland,01-04-2019,1,0.694295845
113,Male,2 - Director,N,3,No,Yes,0.5,No,Y,Strategy,not leave,2 - Director,Strategy,Full Time,Full Time,Inconclusive,2 - Director & Strategy,Uneven - Men benefit,2 - Director,4,2 - Director,N,3,40 to 49,41,Switzerland,Switzerland,Switzerland,01-04-2012,8,0.392013923
114,Male,4 - Manager,N,3,No,Yes,0.5,No,Y,Sales & Marketing,not leave,4 - Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,3,4 - Manager,N,3,30 to 39,31,Switzerland,Switzerland,Switzerland,01-04-2013,7,0.516381566
115,Male,2 - Director,N,3,No,No,0.5,Yes,Y,Finance,FY20,not promotion,Finance,Full Time,Full Time,NA,NA,NA,NA,3,2 - Director,N,4,40 to 49,49,Switzerland,Switzerland,Switzerland,01-04-2014,6,0.99051485
116,Male,5 - Senior Officer,N,3,No,Yes,0.5,No,Y,Sales & Marketing,not leave,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,2,5 - Senior Officer,N,0,20 to 29,26,France,Europe,Europe,01-04-2018,2,0.702600763
117,Male,4 - Manager,N,2,No,Yes,0.5,No,Y,Internal Services,not leave,4 - Manager,Internal Services,Full Time,Full Time,Even,4 - Manager & Internal Services,Even,4 - Manager,1,5 - Senior Officer,Y,1,30 to 39,33,France,Europe,Europe,01-04-2013,7,0.139141294
118,Female,3 - Senior Manager,N,0,No,No,0.5,Yes,Y,Sales & Marketing,FY20,not promotion,Sales & Marketing,Full Time,Full Time,NA,NA,NA,NA,2,3 - Senior Manager,N,3,40 to 49,41,Switzerland,Switzerland,Switzerland,01-04-2012,8,0.29757723
119,Female,6 - Junior Officer,N,2,No,Yes,0.5,No,Y,Operations,not leave,6 - Junior Officer,Operations,0.8,Part Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,0,20 to 29,22,France,Europe,Europe,01-04-2019,1,0.828786124
120,Male,5 - Senior Officer,N,2,Yes,Yes,0.5,No,Y,Sales & Marketing,not leave,4 - Manager,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,4,5 - Senior Officer,N,3,30 to 39,34,Switzerland,Switzerland,Switzerland,01-04-2014,6,0.138634575
121,Male,6 - Junior Officer,N,3,No,No,0.5,Yes,Y,Operations,FY20,not promotion,Operations,Full Time,Full Time,NA,NA,NA,NA,3,6 - Junior Officer,N,3,40 to 49,46,Switzerland,Switzerland,Switzerland,01-04-2017,3,0.253840921
122,Male,3 - Senior Manager,N,2,No,Yes,0.5,No,Y,Sales & Marketing,not leave,3 - Senior Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Sales & Marketing,Uneven - Men benefit,3 - Senior Manager,4,3 - Senior Manager,N,2,30 to 39,35,Switzerland,Switzerland,Switzerland,01-04-2015,5,0.624160217
123,Female,6 - Junior Officer,N,3,No,Yes,0.5,No,Y,Sales & Marketing,not leave,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,2,6 - Junior Officer,N,2,30 to 39,30,Lebanon,Middle East,Elsewhere,01-04-2018,2,0.676990279
124,Female,6 - Junior Officer,N,2,No,Yes,0.5,No,Y,Operations,not leave,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,23,Switzerland,Switzerland,Switzerland,01-04-2018,2,0.980750275
125,Male,3 - Senior Manager,Y,0,No,No,0.5,No,N,Operations,not leave,3 - Senior Manager,Operations,Full Time,Full Time,Even,3 - Senior Manager & Operations,Uneven - Men benefit,3 - Senior Manager,0,NA,N,0,30 to 39,38,Switzerland,Switzerland,Switzerland,01-04-2020,0,0.186437574
126,Female,6 - Junior Officer,Y,0,No,No,0.5,No,N,Internal Services,not leave,6 - Junior Officer,Internal Services,0.8,Part Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,0,NA,N,0,20 to 29,22,Germany,Europe,Europe,01-04-2020,0,0.515861749
127,Male,1 - Executive,N,0,No,No,0.5,No,Y,Finance,not leave,1 - Executive,Finance,Full Time,Full Time,NA,NA,NA,NA,2,1 - Executive,N,3,50 to 59,55,Switzerland,Switzerland,Switzerland,01-04-2017,3,0.235889286
128,Male,1 - Executive,N,0,No,No,0.5,No,Y,Strategy,not leave,1 - Executive,Strategy,Full Time,Full Time,NA,NA,NA,NA,3,1 - Executive,N,2,40 to 49,42,Switzerland,Switzerland,Switzerland,01-04-2017,3,0.029015607
129,Male,6 - Junior Officer,N,2,No,Yes,0.5,No,Y,Operations,not leave,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,4,6 - Junior Officer,N,3,20 to 29,22,Switzerland,Switzerland,Switzerland,01-04-2016,4,0.116650292
130,Female,6 - Junior Officer,N,2,No,Yes,0.5,No,Y,Sales & Marketing,not leave,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,2,6 - Junior Officer,N,2,20 to 29,24,Germany,Europe,Europe,01-04-2018,2,0.848335895
131,Male,6 - Junior Officer,N,2,No,Yes,0.5,No,Y,Sales & Marketing,not leave,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,23,Switzerland,Switzerland,Switzerland,01-04-2018,2,0.348891689
132,Male,6 - Junior Officer,N,2,No,Yes,0.5,No,Y,Internal Services,not leave,6 - Junior Officer,Internal Services,Full Time,Full Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,2,6 - Junior Officer,N,4,20 to 29,25,Germany,Europe,Europe,01-04-2018,2,0.594282191
133,Female,4 - Manager,N,3,No,Yes,0.5,No,Y,Operations,not leave,4 - Manager,Operations,Full Time,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,3,4 - Manager,N,2,30 to 39,38,Russia,Europe,Europe,01-04-2017,3,0.308101389
134,Male,4 - Manager,N,3,No,Yes,0.5,No,Y,Sales & Marketing,not leave,4 - Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,3,4 - Manager,N,3,30 to 39,32,France,Europe,Europe,01-04-2012,8,0.064643214
135,Female,6 - Junior Officer,N,3,No,Yes,0.5,No,Y,Operations,not leave,6 - Junior Officer,Operations,0.7,Part Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,0,16 to 19,19,Switzerland,Switzerland,Switzerland,01-04-2019,1,0.415863521
136,Male,6 - Junior Officer,N,2,No,Yes,0.5,No,Y,Operations,not leave,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,0,20 to 29,26,Switzerland,Switzerland,Switzerland,01-04-2019,1,0.219679223
137,Male,3 - Senior Manager,N,2,Yes,Yes,0.5,No,Y,Sales & Marketing,not leave,2 - Director,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Sales & Marketing,Uneven - Men benefit,3 - Senior Manager,2,3 - Senior Manager,N,3,40 to 49,40,France,Europe,Europe,01-04-2018,2,0.34079967
138,Female,6 - Junior Officer,N,2,Yes,Yes,0.5,No,Y,HR,not leave,5 - Senior Officer,HR,Full Time,Full Time,Inconclusive,6 - Junior Officer & HR,Even,6 - Junior Officer,6,6 - Junior Officer,N,2,30 to 39,30,Sweden,Europe,Europe,01-04-2014,6,0.653862585
139,Female,6 - Junior Officer,N,2,No,Yes,0.5,No,Y,Sales & Marketing,not leave,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,27,Italy,Europe,Europe,01-04-2018,2,0.477077113
140,Male,3 - Senior Manager,N,2,No,Yes,0.5,No,Y,Sales & Marketing,not leave,3 - Senior Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Sales & Marketing,Uneven - Men benefit,3 - Senior Manager,5,3 - Senior Manager,N,3,30 to 39,39,Switzerland,Switzerland,Switzerland,01-04-2015,5,0.687572333
141,Male,3 - Senior Manager,N,4,No,Yes,0.5,No,Y,Operations,not leave,3 - Senior Manager,Operations,Full Time,Full Time,Even,3 - Senior Manager & Operations,Uneven - Men benefit,3 - Senior Manager,1,4 - Manager,Y,2,30 to 39,35,Switzerland,Switzerland,Switzerland,01-04-2015,5,0.296906413
142,Male,3 - Senior Manager,Y,0,No,No,0.5,No,N,Operations,not leave,3 - Senior Manager,Operations,Full Time,Full Time,Even,3 - Senior Manager & Operations,Uneven - Men benefit,3 - Senior Manager,0,NA,N,0,30 to 39,34,Switzerland,Switzerland,Switzerland,01-04-2020,0,0.591709087
143,Female,6 - Junior Officer,N,3,No,No,0.5,Yes,Y,Operations,FY20,not promotion,Operations,0.5,Part Time,NA,NA,NA,NA,2,6 - Junior Officer,N,3,30 to 39,31,Switzerland,Switzerland,Switzerland,01-04-2018,2,0.804572476
144,Male,1 - Executive,Y,0,No,No,0.5,No,N,Strategy,not leave,1 - Executive,Strategy,Full Time,Full Time,NA,NA,NA,NA,0,NA,N,0,40 to 49,49,Switzerland,Switzerland,Switzerland,01-04-2020,0,0.352288349
145,Male,4 - Manager,N,2,No,Yes,0.5,No,Y,Sales & Marketing,not leave,4 - Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,4,4 - Manager,N,3,30 to 39,36,Spain,Europe,Europe,01-04-2016,4,0.486286988
146,Male,6 - Junior Officer,N,2,No,Yes,0.5,No,Y,Sales & Marketing,not leave,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,3,6 - Junior Officer,N,2,20 to 29,26,France,Europe,Europe,01-04-2017,3,0.573356638
147,Female,4 - Manager,Y,0,No,No,0.5,No,N,Operations,not leave,4 - Manager,Operations,Full Time,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,0,NA,N,0,40 to 49,42,Germany,Europe,Europe,01-04-2020,0,0.580015738
148,Male,6 - Junior Officer,N,3,No,Yes,0.5,No,Y,Operations,not leave,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,2,20 to 29,23,Switzerland,Switzerland,Switzerland,01-04-2018,2,0.01308696
149,Male,4 - Manager,N,4,No,Yes,0.5,No,Y,Sales & Marketing,not leave,4 - Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,2,4 - Manager,N,3,30 to 39,36,Germany,Europe,Europe,01-04-2015,5,0.735404085
150,Male,4 - Manager,N,2,No,Yes,0.5,No,Y,Operations,not leave,4 - Manager,Operations,Full Time,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,3,4 - Manager,N,2,30 to 39,36,Switzerland,Switzerland,Switzerland,01-04-2016,4,0.627860961
151,Female,5 - Senior Officer,N,0,No,No,0.5,Yes,Y,Sales & Marketing,FY20,not promotion,Sales & Marketing,Full Time,Full Time,NA,NA,NA,NA,3,5 - Senior Officer,N,3,40 to 49,41,Italy,Europe,Europe,01-04-2016,4,0.248927551
152,Male,2 - Director,N,2,No,Yes,0.5,No,Y,HR,not leave,2 - Director,HR,Full Time,Full Time,Inconclusive,2 - Director & HR,Uneven - Men benefit,2 - Director,6,2 - Director,N,3,40 to 49,42,France,Europe,Europe,01-04-2012,8,0.701096902
153,Female,3 - Senior Manager,Y,0,No,No,0.5,No,N,Sales & Marketing,not leave,3 - Senior Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Sales & Marketing,Uneven - Men benefit,3 - Senior Manager,0,NA,N,0,40 to 49,40,Switzerland,Switzerland,Switzerland,01-04-2020,0,0.529309594
154,Male,6 - Junior Officer,N,2,No,Yes,0.5,No,Y,Operations,not leave,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,0,30 to 39,31,Switzerland,Switzerland,Switzerland,01-04-2019,1,0.810617705
155,Female,6 - Junior Officer,N,3,No,Yes,0.5,No,Y,Operations,not leave,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,22,Switzerland,Switzerland,Switzerland,01-04-2018,2,0.184297338
156,Male,6 - Junior Officer,N,2,No,No,0.5,Yes,Y,Internal Services,FY20,not promotion,Internal Services,Full Time,Full Time,NA,NA,NA,NA,5,6 - Junior Officer,N,3,30 to 39,39,Italy,Europe,Europe,01-04-2015,5,0.459111196
157,Female,5 - Senior Officer,Y,0,No,No,0.5,No,N,Operations,not leave,5 - Senior Officer,Operations,0.9,Part Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,0,NA,N,0,20 to 29,28,Switzerland,Switzerland,Switzerland,01-04-2020,0,0.692492444
158,Male,6 - Junior Officer,N,3,No,Yes,0.5,No,Y,Internal Services,not leave,6 - Junior Officer,Internal Services,Full Time,Full Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,23,Switzerland,Switzerland,Switzerland,01-04-2017,3,0.632510332
159,Male,3 - Senior Manager,N,3,No,Yes,0.5,No,Y,Sales & Marketing,not leave,3 - Senior Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Sales & Marketing,Uneven - Men benefit,3 - Senior Manager,3,3 - Senior Manager,N,3,30 to 39,39,Germany,Europe,Europe,01-04-2017,3,0.478014872
160,Male,3 - Senior Manager,N,1,No,Yes,0.5,No,Y,Sales & Marketing,not leave,3 - Senior Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Sales & Marketing,Uneven - Men benefit,3 - Senior Manager,1,4 - Manager,Y,2,30 to 39,35,Switzerland,Switzerland,Switzerland,01-04-2017,3,0.438912028
161,Male,4 - Manager,N,2,No,Yes,0.5,No,Y,Operations,not leave,4 - Manager,Operations,Full Time,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,2,4 - Manager,N,3,30 to 39,35,Switzerland,Switzerland,Switzerland,01-04-2011,9,0.78881145
162,Male,6 - Junior Officer,N,2,No,Yes,0.5,No,Y,Operations,not leave,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,26,France,Europe,Europe,01-04-2017,3,0.184150216
163,Male,4 - Manager,N,3,No,Yes,0.5,No,Y,Finance,not leave,4 - Manager,Finance,Full Time,Full Time,Inconclusive,4 - Manager & Finance,Even,4 - Manager,3,4 - Manager,N,3,30 to 39,36,Switzerland,Switzerland,Switzerland,01-04-2017,3,0.040040194
164,Male,5 - Senior Officer,N,3,No,No,0.5,Yes,Y,Operations,FY20,not promotion,Operations,Full Time,Full Time,NA,NA,NA,NA,7,5 - Senior Officer,N,3,50 to 59,56,Netherlands,Europe,Europe,01-04-2011,9,0.180315755
165,Female,6 - Junior Officer,N,3,No,Yes,0.5,No,Y,Operations,not leave,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,0,20 to 29,26,France,Europe,Europe,01-04-2019,1,0.131126705
166,Male,5 - Senior Officer,N,2,No,Yes,0.5,No,Y,Sales & Marketing,not leave,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,3,5 - Senior Officer,N,2,20 to 29,24,Switzerland,Switzerland,Switzerland,01-04-2013,7,0.633455433
167,Male,3 - Senior Manager,N,2,No,Yes,0.5,No,Y,Internal Services,not leave,3 - Senior Manager,Internal Services,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Internal Services,Uneven - Men benefit,3 - Senior Manager,2,3 - Senior Manager,N,3,40 to 49,40,Germany,Europe,Europe,01-04-2017,3,0.758342326
168,Male,5 - Senior Officer,N,2,No,Yes,0.5,No,Y,Sales & Marketing,not leave,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,3,5 - Senior Officer,N,2,20 to 29,25,France,Europe,Europe,01-04-2011,9,0.608025685
169,Female,5 - Senior Officer,N,1,No,Yes,0.5,No,Y,Sales & Marketing,not leave,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,2,5 - Senior Officer,N,3,30 to 39,32,France,Europe,Europe,01-04-2018,2,0.356258632
170,Male,4 - Manager,N,2,No,Yes,0.5,No,Y,Sales & Marketing,not leave,4 - Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,3,4 - Manager,N,2,30 to 39,35,Switzerland,Switzerland,Switzerland,01-04-2017,3,0.629703086
171,Female,4 - Manager,N,3,No,Yes,0.5,No,Y,Sales & Marketing,not leave,4 - Manager,Sales & Marketing,0.8,Part Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,2,4 - Manager,N,2,40 to 49,41,Italy,Europe,Europe,01-04-2011,9,0.87864
172,Male,3 - Senior Manager,N,3,No,Yes,0.5,No,Y,HR,not leave,3 - Senior Manager,HR,Full Time,Full Time,Inconclusive,3 - Senior Manager & HR,Uneven - Men benefit,3 - Senior Manager,3,3 - Senior Manager,N,2,30 to 39,36,Switzerland,Switzerland,Switzerland,01-04-2016,4,0.474315317
173,Female,5 - Senior Officer,N,2,No,Yes,0.5,No,Y,Operations,not leave,5 - Senior Officer,Operations,0.4,Part Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,1,6 - Junior Officer,Y,1,30 to 39,30,Italy,Europe,Europe,01-04-2013,7,0.132927809
174,Male,2 - Director,N,2,No,Yes,0.5,No,Y,Operations,not leave,2 - Director,Operations,Full Time,Full Time,Even,2 - Director & Operations,Uneven - Men benefit,2 - Director,3,2 - Director,N,2,40 to 49,44,France,Europe,Europe,01-04-2011,9,0.369495351
175,Male,5 - Senior Officer,N,2,Yes,Yes,0.5,No,Y,Finance,not leave,4 - Manager,Finance,Full Time,Full Time,Inconclusive,5 - Senior Officer & Finance,Even,5 - Senior Officer,1,6 - Junior Officer,Y,1,30 to 39,36,Switzerland,Switzerland,Switzerland,01-04-2016,4,0.777909111
176,Female,3 - Senior Manager,N,2,Yes,Yes,0.5,No,Y,Internal Services,not leave,2 - Director,Internal Services,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Internal Services,Uneven - Men benefit,3 - Senior Manager,4,3 - Senior Manager,N,2,40 to 49,46,France,Europe,Europe,01-04-2016,4,0.880350751
177,Male,4 - Manager,N,3,No,Yes,0.5,No,Y,Operations,not leave,4 - Manager,Operations,Full Time,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,3,4 - Manager,N,3,30 to 39,30,Spain,Europe,Europe,01-04-2015,5,0.486808954
